type,title,description,era,color,layout,theme,display_mode,media_type,year,image_url,in_rooms,in_galleries,in_vitrines
room,"Drachenfels & Burgruine","Der Drachenfels (321 m) ist das Wahrzeichen des Siebengebirges. Die Burgruine aus dem 12. Jahrhundert thront über dem Rhein und war Inspiration für Dichter wie Byron und Goethe. Heute besuchen jährlich über eine Million Menschen den Felsen.",mittelalter,#4A2C0A,,,,,,,,,
room,"Schloss Drachenburg","Das neogotische Schloss Drachenburg (1882–1884) gilt als Meisterwerk des Historismus am Rhein. Börsenmakler Stephan von Sarter ließ es in nur zwei Jahren errichten – heute Museum mit prunkvollen Innenräumen und englischem Landschaftsgarten.",historismus,#2E4057,,,,,,,,,
room,"Kloster Heisterbach & Siebengebirge","Das Zisterzienserkloster Heisterbach (1202 gegründet) war eines der bedeutendsten Klöster am Rhein. Die gotische Chorruine im Heisterbacher Tal zählt zu den eindrucksvollsten Zeugnissen mittelalterlicher Architektur in der Region.",mittelalter,#5D4037,,,,,,,,,
room,"Rhein & Königswinter","Der Rhein als Lebensader der Region: Schifffahrt, Fähren, Fischerei und Überflutungen prägten Königswinter seit Jahrhunderten. Von der Promenade blickt man auf das Siebengebirge-Panorama.",neuzeit,#1565C0,,,,,,,,,
room,"Stadtgeschichte Königswinter","Königswinter und seine Stadtteile Rhöndorf, Oberdollendorf und Niederdollendorf vereinen antike Römerstraßen, mittelalterliche Weinbaukultur und die Epoche des ersten deutschen Bundeskanzlers Konrad Adenauer.",neuzeit,#6D4C41,,,,,,,,,
room,"Natur & Geologie Siebengebirge","Das Siebengebirge – ein erloschenes Vulkangebiet aus dem Tertiär – beherbergt über 40 Gipfel, seltene Flora und Fauna sowie den weltberühmten Drachenfels-Trachyt. Als eines der ältesten Naturschutzgebiete Deutschlands steht es seit 1923 unter Schutz.",geologie,#33691E,,,,,,,,,
room,"Sagen & Legenden des Siebengebirges","Das Siebengebirge ist reich an Mythen: Von Siegfrieds Drachenkampf bis zur Rolandssage. Richard Wagner ließ sich für seinen Nibelungen-Ring inspirieren. Die Nibelungenhalle von 1913 bewahrt diese Tradition.",mittelalter,#6A1B9A,,,,,,,,,
room,"Beethoven & das Musikalische Bonn","Ludwig van Beethoven wurde am 17. Dezember 1770 in Bonn geboren. Sein Geburtshaus am Bonngässchen zählt zu den meistbesuchten Gedenkstätten Deutschlands. Bonns Musikkultur reicht weit über Beethoven hinaus.",neuzeit,#B71C1C,,,,,,,,,
room,"Bonn – Bundeshauptstadt am Rhein","Von 1949 bis 1991 war Bonn Bundeshauptstadt der Bundesrepublik Deutschland. Das Bundeshaus, das Kanzlerbungalow und das Diplomatenviertel prägten die politische Nachkriegsgeschichte. Heute ist Bonn UN-Stadt mit 19 UN-Organisationen.",neuzeit,#1A237E,,,,,,,,,
room,"Bonn Altstadt & Universität","Die Bonner Altstadt mit dem Alten Rathaus, dem Münster und dem Marktplatz ist das historische Herz der Stadt. Die 1818 gegründete Rheinische Friedrich-Wilhelms-Universität zählt zu den renommiertesten deutschen Hochschulen.",neuzeit,#4E342E,,,,,,,,,
room,"Kölner Dom & Gotik","Der Kölner Dom ist eines der bedeutendsten gotischen Bauwerke der Welt. Seit 1248 im Bau, 1880 vollendet, steht er als UNESCO-Weltkulturerbe am Rheinufer. Über sechs Millionen Besucher kommen jährlich.",mittelalter,#263238,,,,,,,,,
room,"Köln – Römer & Antike","Köln, das römische Colonia Claudia Ara Agrippinensium (CCAA), war eine der bedeutendsten Städte nördlich der Alpen. Das Romano-Germanische Museum bewahrt das Erbe der über 400-jährigen Römerherrschaft.",antike,#4A148C,,,,,,,,,
room,"Kölner Brücken & Rheinleben","Über den Kölner Rhein führen zwölf Brücken. Die Hohenzollernbrücke mit ihren Liebesschlössern ist das meistüberquerte Eisenbahnbrücke Deutschlands. Das Rheinufer prägt das Stadtbild und das Leben der Kölner.",neuzeit,#006064,,,,,,,,,
room,"Kölner Stadtkultur & Karneval","Der Kölner Karneval – »Fastelovend« – ist das größte Straßenfest Deutschlands. Die Kölner Braukultur mit dem typischen Kölsch und die weltbekannten Museen machen Köln zu einem einzigartigen Kulturzentrum.",neuzeit,#E65100,,,,,,,,,
room,"Bad Godesberg & Voreifel","Bad Godesberg, der vornehme Bonner Süden, war Diplomatenstadtteil und Kurort. Die Godesburg – einst Kurfürstliche Residenz – thront über dem Rhein. Die Voreifel mit dem Siebengebirge bildet eine einzigartige Kulturlandschaft.",neuzeit,#37474F,,,,,,,,,
object,"Schlosspark Drachenburg","Englischer Landschaftspark mit Terrassen und Rheinblick – angelegt 1882.",historismus,,,,,,image,1882,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Schlosspark & Terrassen"
object,"Portrait Stephan von Sarter","Porträt des Bauherrn Stephan von Sarter (1833–1902), Börsenmakler und Mäzen.",historismus,,,,,,image,1880,,,"Schloss Drachenburg – Räume & Details","Geschichte des Schlossbaus"
object,"Bauplan Schloss Drachenburg 1882","Originalzeichnung des Architekten Bernhard Afinger mit Grundriss und Fassadenplan.",historismus,,,,,,document,1882,,,"Schloss Drachenburg – Räume & Details","Geschichte des Schlossbaus"
object,"Drachenburg – Luftaufnahme","Moderne Drohnenaufnahme des Schlosses mit Landschaftsgarten und Siebengebirge-Kulisse.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Schlosspark & Terrassen"
object,"Festsaal Drachenburg","Der repräsentative Festsaal mit Kassettendecke und Parkettboden für Empfänge.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Prunkräume Drachenburg"
object,"Wintergarten Drachenburg","Der verglaste Wintergarten mit exotischen Pflanzen – typisch für das Repräsentationsbedürfnis der Gründerzeit.",historismus,,,,,,image,1884,,,"Schloss Drachenburg – Räume & Details","Schlosspark & Terrassen"
object,"Chorruine Heisterbach – Hauptansicht","Die gotische Chorruine von 1210 im Heisterbacher Tal – Hauptzeugnis der Zisterzienser.",mittelalter,,,,,,image,1210,https://upload.wikimedia.org/wikipedia/commons/7/78/Chorruine_Heisterbach.jpg,"Kloster Heisterbach & Siebengebirge","Klosterruine alle Jahreszeiten","Chorruine Heisterbach"
object,"Chorruine im Winter","Die schneebedeckte Chorruine von Heisterbach im Dezember – stille Magie des Heisterbacher Tales.",mittelalter,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/7/78/Chorruine_Heisterbach.jpg,"Kloster Heisterbach & Siebengebirge","Klosterruine alle Jahreszeiten","Chorruine Heisterbach"
object,"Chorruine im Frühjahr","Blütenblütiger Frühling an der Heisterbacher Chorruine mit erstem Grün der Buchenwälder.",mittelalter,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/7/78/Chorruine_Heisterbach.jpg,"Kloster Heisterbach & Siebengebirge","Klosterruine alle Jahreszeiten","Chorruine Heisterbach"
object,"Zisterzienser-Ordensregel (Faksimile)","Faksimile der Regel des Bernhard von Clairvaux – Grundlage des Klosterlebens in Heisterbach.",mittelalter,,,,,,document,1120,,,"Klosterruine alle Jahreszeiten","Klosterleben & Mönche"
object,"Kloster Heisterbach – Rekonstruktionszeichnung","Architektenkizze der vollständigen Klosteranlage nach archäologischen Befunden.",mittelalter,,,,,,image,1200,,,"Klosterruine alle Jahreszeiten","Klosterleben & Mönche"
object,"Steinmetzzeichen aus Heisterbach","Mittelalterliche Steinmetzzeichen an den erhaltenen Gewölberippen der Chorruine.",mittelalter,,,,,,image,1210,,,"Klosterruine alle Jahreszeiten","Chorruine Heisterbach"
object,"Waldpfad zum Kloster","Markierter Wanderweg durch den Buchenwald des Heisterbacher Tales zur Chorruine.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/8/88/Trail_Marker_Near_Kloster_Heisterbach.jpg,"Kloster Heisterbach & Siebengebirge","Heisterbacher Tal Natur","Heisterbacher Tal Natur"
object,"Herbstlaub Heisterbacher Tal","Rotgoldenes Herbstlaub im Buchenwald des Heisterbacher Tales im Oktober.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/46/Herbstwald_im_Siebengebirge.jpg,"Kloster Heisterbach & Siebengebirge","Heisterbacher Tal Natur","Heisterbacher Tal Natur"
object,"Orchidee im Heisterbacher Tal","Seltene Orchideenart im Naturschutzgebiet Siebengebirge – Waldhyazinthe in voller Blüte.",geologie,,,,,,image,,,,"Heisterbacher Tal Natur","Flora & Fauna im Schutzgebiet"
object,"Siebengebirge vom Rhein – Panorama","Panoramaaufnahme des Siebengebirges von der Rheinseite – Drachenfels im Mittelpunkt.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/2/23/Bonn_Siebengebirge.jpg,"Rhein & Königswinter","Rhein bei Königswinter","Rheinschifffahrt & Handel"
object,"Dampfschiff am Königswinterer Anleger","Historische Aufnahme eines Raddampfers am Anlegesteg Königswinter um 1890.",neuzeit,,,,,,image,1890,https://upload.wikimedia.org/wikipedia/commons/2/23/Bonn_Siebengebirge.jpg,"Rhein & Königswinter","Rhein bei Königswinter","Rheinschifffahrt & Handel"
object,"Rheinfähre bei Königswinter","Die Rheinfähre überquert den Rhein zwischen Königswinter und Remagen – unverzichtbarer Alltagsverkehr.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/8/81/F%C3%A4hre_bei_K%C3%B6nigswinter.jpg,"Rhein & Königswinter","Rhein bei Königswinter","Rheinfähre & Flussleben"
object,"Rheinhochwasser 1926","Historische Aufnahme des Jahrhunderthochwassers in Königswinter – Häuser stehen bis zum ersten Stock im Wasser.",neuzeit,,,,,,image,1926,,"Rhein & Königswinter","Rhein bei Königswinter","Rheinschifffahrt & Handel"
object,"Rheinpromenade Königswinter um 1900","Kolorierte Ansichtskarte der Promenade mit Ausflüglern und Dampfschiffen.",neuzeit,,,,,,image,1900,https://upload.wikimedia.org/wikipedia/commons/2/23/Bonn_Siebengebirge.jpg,"Rhein & Königswinter","Rhein bei Königswinter","Rheinromantik & Tourismus"
object,"Fischerboote am Rhein","Traditionelle Rhein-Fischer mit Netzen und Kähnen vor dem Siebengebirge-Panorama.",neuzeit,,,,,,image,1920,,"Rhein & Königswinter","Rhein bei Königswinter","Rheinfähre & Flussleben"
object,"Ausflugsschiff »Drachenfels«","Das gleichnamige Ausflugsschiff der Köln-Düsseldorfer Rheinschifffahrt am Anleger Königswinter.",neuzeit,,,,,,image,1960,,"Rhein & Königswinter","Rhein bei Königswinter","Rheinromantik & Tourismus"
object,"Rheinufer im Mondlicht (Gemälde)","Romantisches Gemälde des Mondscheins über dem Rhein bei Königswinter, entstanden 1845.",neuzeit,,,,,,image,1845,,"Rhein & Königswinter","Historisches Siebengebirge","Rheinromantik & Tourismus"
object,"Rathaus Königswinter","Das historische Rathaus am Marktplatz – Zeugnis der Stadterhebung von 1927.",neuzeit,,,,,,image,1927,https://upload.wikimedia.org/wikipedia/commons/7/7c/Koenigswinter_Rathaus.jpg,"Stadtgeschichte Königswinter","Königswinter historisch","Altstadt Königswinter & Marktplatz"
object,"Marktplatz Königswinter um 1910","Historische Aufnahme des Marktplatzes mit Händlern, Fuhrwerken und Bürgern.",neuzeit,,,,,,image,1910,https://upload.wikimedia.org/wikipedia/commons/7/7c/Koenigswinter_Rathaus.jpg,"Stadtgeschichte Königswinter","Königswinter historisch","Altstadt Königswinter & Marktplatz"
object,"Adenauers Wohnhaus Rhöndorf","Das schlichte Wohnhaus Konrad Adenauers am Zinsenberg – heute Gedenkstätte.",neuzeit,,,,,,image,1937,https://upload.wikimedia.org/wikipedia/commons/e/e0/Adenauer_haus_rh%C3%B6ndorf_20080509.jpg,"Stadtgeschichte Königswinter","Adenauer – Bilder einer Epoche","Rhöndorf & Konrad Adenauer"
object,"Adenauers Rosengarten","Der Privatgarten Adenauers in Rhöndorf – hier züchtete der Kanzler als Ausgleich Rosen.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Adenauer_haus_rh%C3%B6ndorf_20080509.jpg,"Stadtgeschichte Königswinter","Adenauer – Bilder einer Epoche","Rhöndorf & Konrad Adenauer"
object,"Adenauer als Bundeskanzler (Porträt)","Offizielles Porträtfoto Konrad Adenauers als erster Bundeskanzler der Bundesrepublik, 1949.",neuzeit,,,,,,image,1949,,"Stadtgeschichte Königswinter|Bonn – Bundeshauptstadt am Rhein","Adenauer – Bilder einer Epoche","Rhöndorf & Konrad Adenauer"
object,"Adenauers Grab in Rhöndorf","Das schlichte Grab Konrad Adenauers auf dem Waldfriedhof Rhöndorf – Wallfahrtsort der deutschen Geschichte.",neuzeit,,,,,,image,1967,,"Stadtgeschichte Königswinter","Adenauer – Bilder einer Epoche","Rhöndorf & Konrad Adenauer"
object,"Weinberg Rhöndorf – Herbstlese","Handlese der Spätburgunder-Trauben an den Steillagen des Drachenfels.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Drachenfels_%28Siebengebirge%29_from_Rh%C3%B6ndorf.jpg,"Stadtgeschichte Königswinter","Königswinter historisch","Weinbaukultur am Drachenfels"
object,"Weinflasche Siebengebirger Riesling","Etiketten und Flaschen des regionalen Siebengebirger Qualitätsweins – eines der nördlichsten Anbaugebiete.",neuzeit,,,,,,image,,,,"Königswinter historisch","Weinbaukultur am Drachenfels"
object,"Römerstraße in Niederdollendorf","Archäologischer Befund der römischen Straße entlang des Rheins durch Niederdollendorf.",antike,,,,,,image,100,,"Stadtgeschichte Königswinter","Königswinter historisch","Altstadt Königswinter & Marktplatz"
object,"Pfarrkirche Oberdollendorf","Die romanische Pfarrkirche St. Laurentius in Oberdollendorf aus dem 12. Jahrhundert.",mittelalter,,,,,,image,1150,,"Stadtgeschichte Königswinter","Königswinter historisch","Altstadt Königswinter & Marktplatz"
object,"Großer Ölberg – Gipfelansicht","Der Große Ölberg (461 m) mit Gipfelkapelle – höchste Erhebung des Siebengebirges.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/5/58/Grosser_Oelberg_Koenigswinter_2300.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt & Aussichten"
object,"Wolkenburg im Herbst","Die bewaldete Wolkenburg (324 m) mit spektakulärem Rheinblick im Oktoberlicht.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/6/66/Wolkenburg_Breiberg.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt & Aussichten"
object,"Löwenburg-Ruinen","Stille Ruinen der Löwenburg (455 m) im Wald des Siebengebirges – kaum bekanntes Denkmal.",mittelalter,,,,,,image,1200,https://upload.wikimedia.org/wikipedia/commons/e/e9/L%C3%B6wenburg_Siebengebirge.JPG,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt & Aussichten"
object,"Petersberg – Gästehaus der Bundesregierung","Das Gästehaus auf dem Petersberg empfing Staatsbesucher von Adenauer bis Kohl.",neuzeit,,,,,,image,1955,https://upload.wikimedia.org/wikipedia/commons/e/ec/Petersberg.jpg,"Natur & Geologie Siebengebirge|Bonn – Bundeshauptstadt am Rhein","Siebengebirge Gipfelpanorama","Gipfelwelt & Aussichten"
object,"Drachenfels-Trachyt – Gesteinskarton","Gesteinskarton mit einem Stück des olivgrünen Drachenfels-Trachyts – begehrter mittelalterlicher Baustein.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/44/Drachenfels_Trachyt.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Geologie","Drachenfelser Trachyt – Baustein Europas"
object,"Trachyt-Steinbruch (historisch)","Historische Aufnahme des aufgelassenen Steinbruchs am Drachenfels – Abbau von 900 bis 1770 n. Chr.",geologie,,,,,,image,1770,https://upload.wikimedia.org/wikipedia/commons/4/44/Drachenfels_Trachyt.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Geologie","Drachenfelser Trachyt – Baustein Europas"
object,"Trachyt im Kölner Dom","Detail der Drachenfels-Trachyt-Steine in der Südwand des Kölner Doms – vom Siebengebirge zum Dombauplatz.",mittelalter,,,,,,image,1248,https://upload.wikimedia.org/wikipedia/commons/4/44/Drachenfels_Trachyt.jpg,"Natur & Geologie Siebengebirge|Kölner Dom & Gotik","Siebengebirge Geologie","Drachenfelser Trachyt – Baustein Europas"
object,"Herbstwald Siebengebirge","Leuchtend roter Laubwald im Naturschutzgebiet im Oktober.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/46/Herbstwald_im_Siebengebirge.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Flora & Fauna im Schutzgebiet"
object,"Rotmilan über dem Siebengebirge","Der Rotmilan – typischer Greifvogel des Siebengebirges – im Aufwind über den Gipfeln.",geologie,,,,,,image,,,,"Siebengebirge Gipfelpanorama","Flora & Fauna im Schutzgebiet"
object,"Fledermaus im Siebengebirge","Verschiedene Fledermausarten nutzen die Stollen und Wälder des Siebengebirges als Winterquartier.",geologie,,,,,,image,,,,"Heisterbacher Tal Natur","Flora & Fauna im Schutzgebiet"
object,"Nibelungenhalle Königswinter","Die Nibelungenhalle von 1913 nach Motiven von Wagners Ring – Architekt Clemens Schürmann.",neuzeit,,,,,,image,1913,https://upload.wikimedia.org/wikipedia/commons/4/45/Nibelungenhalle_Koenigswinter.jpg,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfried"
object,"Siegfried tötet den Drachen (Wandgemälde)","Monumentales Wandgemälde in der Nibelungenhalle: Siegfrieds Drachenkampf am Drachenfels.",mittelalter,,,,,,image,1913,https://upload.wikimedia.org/wikipedia/commons/4/45/Nibelungenhalle_Koenigswinter.jpg,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfried"
object,"Drachenskulptur Nibelungenhalle","Lebensgroßes Drachenskulptur im Drachenschauraum der Nibelungenhalle.",neuzeit,,,,,,image,1913,https://upload.wikimedia.org/wikipedia/commons/4/45/Nibelungenhalle_Koenigswinter.jpg,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfried"
object,"Rolandsbogen über dem Rhein","Das Bogenrund der mittelalterlichen Burgkapelle über dem Rhein – Schauplatz der Rolandssage.",mittelalter,,,,,,image,1000,https://upload.wikimedia.org/wikipedia/commons/3/36/Rolandsbogen1.jpg,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Rolandssage & Rittertum"
object,"Roland und Hildegunde (Zeichnung)","Romantische Illustration zur Rolandssage: die unglückselige Trennung der Liebenden.",neuzeit,,,,,,image,1850,https://upload.wikimedia.org/wikipedia/commons/3/36/Rolandsbogen1.jpg,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Rolandssage & Rittertum"
object,"Nibelungenlied – Buchillustration","Illustration zu Szenen aus dem mittelhochdeutschen Nibelungenlied, 19. Jahrhundert.",mittelalter,,,,,,image,1880,,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfried"
object,"Sage vom schlafenden Mönch (Illustration)","Der schlafende Mönch von Heisterbach – die berühmteste Klosterlegende des Siebengebirges.",mittelalter,,,,,,image,1500,,"Sagen & Legenden des Siebengebirges|Kloster Heisterbach & Siebengebirge","Nibelungenhalle Kunstwerke","Klosterleben & Mönche"
object,"Beethovens Geburtshaus Bonn","Das schmale Barockhaus am Bonngässchen 20 – Geburtsort Beethovens am 17. Dezember 1770.",neuzeit,,,,,,image,1770,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Beethoven-Portrait von Stieler 1820","Das bekannteste Beethoven-Porträt von Joseph Karl Stieler zeigt den Komponisten mit Manuskript.",neuzeit,,,,,,image,1820,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Beethovens Hörtrichter","Einer von Beethovens Hörtrichtern aus der Beethoven-Haus-Sammlung – eindrückliches Zeugnis seiner Taubheit.",neuzeit,,,,,,image,1810,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Werke & Manuskripte"
object,"Autograph der 9. Sinfonie","Faksimile der berühmtesten Taktseite aus Beethovens 9. Sinfonie in d-Moll – UNESCO-Welterbe.",neuzeit,,,,,,document,1824,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Werke & Manuskripte"
object,"Beethoven-Denkmal Bonn","Das Beethovendenkmal auf dem Münsterplatz von Ernst Julius Hähnel – seit 1845 Mittelpunkt Bonns.",neuzeit,,,,,,image,1845,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Beethovens Hammerklavier","Nachbildung des Hammerflügels aus dem Beethoven-Haus – Instrument seiner späten Schaffensperiode.",neuzeit,,,,,,image,1817,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Werke & Manuskripte"
object,"Beethoven-Halle Bonn","Die 1959 eröffnete Beethovenhalle am Rhein – Hauptspielstätte des Beethovenfestes Bonn.",neuzeit,,,,,,image,1959,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Bonner Musikgeschichte 18. Jh.","Das Bonner Hoftheater unter Kurfürst Max Franz war Beethovens erste musikalische Wirkungsstätte.",neuzeit,,,,,,image,1789,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Beethovenhaus – Innenhof","Der stille Innenhof des Beethoven-Hauses mit dem kleinen Gedenkbrunnen und historischen Stadtmauern.",neuzeit,,,,,,image,,,,"Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Bundeshaus Bonn – Plenarsaal","Der historische Plenarsaal des Deutschen Bundestages im Bundeshaus Bonn – Herz der deutschen Demokratie von 1949 bis 1999.",neuzeit,,,,,,image,1949,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Bundeshaus & Parlament"
object,"Kanzlerbungalow Bonn","Das Bundeskanzleramt-Bungalow (1964) von Sep Ruf – ein Meisterwerk der Moderne, Amtssitz der Kanzler Erhard bis Kohl.",neuzeit,,,,,,image,1964,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Kanzler & Regierung"
object,"Adenauer im Bundeshaus 1949","Historisches Pressefoto Konrad Adenauers nach seiner Wahl zum ersten Bundeskanzler.",neuzeit,,,,,,image,1949,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Kanzler & Regierung"
object,"Haus der Geschichte Bonn","Das Haus der Geschichte der Bundesrepublik Deutschland ist eines der meistbesuchten Museen Deutschlands.",neuzeit,,,,,,image,1994,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Bundeshaus & Parlament"
object,"UN-Campus Bonn","Bonn als UN-Stadt – das moderne UN-Campusgelände mit Langer Eugen und Hochhäusern internationaler Organisationen.",neuzeit,,,,,,image,,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Bundeshaus & Parlament"
object,"Petersberger Abkommen 1949","Historisches Dokument der Petersberger Vereinbarungen zwischen Adenauer und den Alliierten Hohen Kommissaren.",neuzeit,,,,,,document,1949,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Kanzler & Regierung"
object,"Deutschlandfunk Bonn","Das Deutschlandfunk-Gebäude in Bonn – eines der wichtigsten öffentlich-rechtlichen Rundfunkgebäude der Bundesrepublik.",neuzeit,,,,,,image,1962,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Bundeshaus & Parlament"
object,"Rheinfront Bonn – Regierungsviertel","Luftaufnahme des Bonner Regierungsviertels am Rhein mit Bundeshaus, Kanzlerbungalow und Posttower.",neuzeit,,,,,,image,,"Bonn – Bundeshauptstadt am Rhein","Bonn als Bundeshauptstadt","Bundeshaus & Parlament"
object,"Bonner Münster – Außenansicht","Die romanisch-gotische Stiftskirche St. Martin und Cassius am Münsterplatz – eines der bedeutendsten romanischen Bauwerke am Rhein.",neuzeit,,,,,,image,1150,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Bonner Münster – Kreuzgang","Der romanische Kreuzgang des Bonner Münsters aus dem 13. Jahrhundert mit Grabplatten und Fresken.",mittelalter,,,,,,image,1250,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Altes Rathaus Bonn","Das Rokokorathaus am Bonner Markt (1737–1738) – Meisterwerk des Barocks, Schauplatz zahlreicher Staatsbesuche.",neuzeit,,,,,,image,1738,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Universität Bonn – Hauptgebäude","Das Hauptgebäude der Universität im ehemaligen Kurfürstlichen Residenzschloss – Gründung 1818.",neuzeit,,,,,,image,1818,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Universität & Studentenleben"
object,"Poppelsdorfer Schloss","Das Barockschloss in Poppelsdorf, heute Teil der Universität Bonn, mit dem berühmten botanischen Garten.",neuzeit,,,,,,image,1715,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Universität & Studentenleben"
object,"Bonner Marktplatz","Der lebendige Marktplatz vor dem Alten Rathaus – seit Jahrhunderten Mittelpunkt des Bonner Handels und Stadtlebens.",neuzeit,,,,,,image,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Rheinufer Bonn – Promenade","Die beliebte Bonner Rheinpromenade mit Blick auf das Siebengebirge – städtischer Flanierort seit dem 19. Jahrhundert.",neuzeit,,,,,,image,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Karl Marx in Bonn 1835","Historische Quelle zu Karl Marx' Studienzeit an der Bonner Universität – Immatrikulationsschein aus dem Archiv.",neuzeit,,,,,,document,1835,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Universität & Studentenleben"
object,"Kunstmuseum Bonn","Das Kunstmuseum Bonn mit seiner Sammlung moderner und zeitgenössischer Kunst am Museumsplatz.",neuzeit,,,,,,image,1992,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Universität & Studentenleben"
object,"Kölner Dom – Westfassade","Die imposante Westfassade des Kölner Doms mit den 157 Meter hohen Türmen – Symbol Kölns weltweit.",mittelalter,,,,,,image,1880,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Kölner Dom – Hochschiff","Das gotische Hochschiff des Kölner Doms mit den 45 Meter hohen Gewölben – vollendet 1322.",mittelalter,,,,,,image,1322,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Domschatzkammer & Reliquien"
object,"Dreikönigenschrein","Der Dreikönigenschrein (um 1190–1220) ist das bedeutendste Goldschmiedewerk des Mittelalters – Ziel der Kölner Wallfahrt.",mittelalter,,,,,,image,1200,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Domschatzkammer & Reliquien"
object,"Petrusreliquiar","Das romanische Petrusreliquiar aus dem Domschatz – ein Meisterwerk der mittelalterlichen Goldschmiedekunst.",mittelalter,,,,,,image,1170,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Domschatzkammer & Reliquien"
